pH,temperature,gas_level,weight_kg,voltage,energy_mJ
5.77,32.2,511,705824105.99,1.395,0.4865
4.36,25.1,478,747528261.972,0.924,0.2134
7.64,36.7,641,483002021.989,1.19,0.354
7.41,30.2,436,601864565.989,1.273,0.4051
8.2,23.3,546,446099628.647,0.91,0.207
9.33,41.0,660,706831211.44,0.819,0.1677
7.77,38.3,410,26259281.907,0.975,0.2377
7.54,31.7,354,538060465.257,1.293,0.418
2.93,24.4,454,235531388.178,0.706,0.1246
8.44,27.8,561,87854055.988,1.068,0.2852
4.81,22.5,500,34775635.424,0.821,0.1685
5.75,39.9,635,485100030.939,1.088,0.2959
4.95,29.5,330,764626912.282,1.133,0.3209
5.11,31.8,646,599633090.185,1.369,0.4685
6.6,30.1,636,145569156.773,1.414,0.4998
4.18,23.7,720,90460959.018,0.901,0.203
7.78,40.7,431,857496514.851,0.924,0.2134
5.53,36.7,329,761774255.738,1.099,0.302
5.8,23.4,783,813731924.604,1.125,0.3164
3.8,33.8,367,805215741.062,1.05,0.2756
8.22,32.0,611,730547412.336,1.331,0.4429
9.04,21.3,364,629131574.593,0.694,0.1204
7.54,31.3,484,138331720.208,1.304,0.4251
3.38,31.9,636,118431989.917,1.152,0.3318
4.74,40.4,405,289617818.801,0.858,0.184
5.31,29.9,514,313709711.33,1.248,0.3894
7.21,28.6,626,15728678.093,1.242,0.3856
2.82,38.2,620,502348010.162,0.83,0.1722
6.0,42.5,583,217179478.102,0.99,0.245
4.54,34.2,405,705809831.851,1.127,0.3175
3.0,21.6,333,875667728.644,0.579,0.0838
2.81,36.1,763,826926700.94,0.984,0.2421
4.67,43.0,705,792991291.034,0.905,0.2048
3.02,33.7,352,834794932.746,0.961,0.2309
6.02,31.1,428,159531590.976,1.339,0.4482
7.06,41.9,651,507235485.562,1.026,0.2632
3.93,34.6,523,298820004.54,1.073,0.2878
5.16,29.7,468,481417039.048,1.211,0.3666
5.74,40.5,617,521607751.657,1.054,0.2777
6.64,43.4,380,551816107.43,0.968,0.2343
5.79,31.5,708,188679628.954,1.439,0.5177
3.35,38.5,767,669852981.817,0.935,0.2186
5.01,42.5,710,444590309.039,0.937,0.2195
7.37,31.5,301,41207287.856,1.246,0.3881
3.44,37.9,365,140978676.592,0.799,0.1596
3.17,36.4,566,11822118.309,0.875,0.1914
4.04,33.7,590,695077050.393,1.163,0.3381
8.29,42.2,509,186428006.505,0.815,0.1661
8.38,21.8,509,251573900.275,0.809,0.1636
5.07,31.3,611,817562348.172,1.334,0.4449
3.38,39.9,665,238258147.921,0.822,0.1689
3.02,44.6,463,54981992.984,0.59,0.087
2.79,42.0,343,78415934.757,0.524,0.0686
5.26,34.7,628,983976010.981,1.274,0.4058
3.58,27.2,566,792471190.742,0.964,0.2323
7.21,44.6,478,487700224.064,0.939,0.2204
8.3,27.2,413,3331581.396,0.954,0.2275
7.45,20.4,739,973636190.915,1.02,0.2601
3.75,20.7,304,671024223.816,0.649,0.1053
8.51,28.9,528,614063553.531,1.125,0.3164
7.44,35.9,304,142754005.808,1.105,0.3053
7.18,37.6,675,902820399.687,1.223,0.3739
3.67,35.8,694,287361074.617,1.053,0.2772
6.67,39.2,441,170959752.864,1.097,0.3009
9.02,29.1,587,615105165.632,1.099,0.302
3.3,24.3,359,982986648.824,0.728,0.1325
9.12,23.9,751,383421874.18,0.908,0.2061
9.05,39.4,542,97536105.99,0.85,0.1806
6.85,25.8,762,530380022.02,1.258,0.3956
8.12,42.5,778,859414101.659,0.957,0.229
3.65,37.9,508,883183119.843,0.903,0.2039
8.18,33.8,738,113065410.949,1.275,0.4064
5.73,23.6,446,510838599.089,0.993,0.2465
3.11,36.6,659,701145592.819,0.954,0.2275
6.28,31.8,743,944545320.339,1.544,0.596
6.11,22.5,441,473250112.507,0.983,0.2416
4.89,36.7,800,25558745.588,1.154,0.3329
2.64,31.3,443,408059486.258,0.987,0.2435
3.93,35.1,434,477266660.971,1.023,0.2616
6.65,42.9,758,402430659.306,1.104,0.3047
6.41,41.0,370,817203005.746,1.021,0.2606
4.57,40.7,444,438565842.695,0.846,0.1789
6.21,30.2,736,786955772.218,1.459,0.5322
6.24,42.9,745,566047514.676,1.092,0.2981
5.21,38.8,371,248828071.568,0.968,0.2343
3.73,31.5,479,673632881.341,1.14,0.3249
3.76,43.7,503,593130638.843,0.723,0.1307
9.28,34.6,418,412437692.161,1.014,0.257
6.2,24.7,773,518862146.372,1.218,0.3709
6.23,37.3,500,55395000.079,1.177,0.3463
4.11,31.2,749,249666920.901,1.256,0.3944
5.25,43.2,371,973684783.383,0.848,0.1798
3.42,30.1,614,766007409.383,1.094,0.2992
4.3,36.8,535,915510289.792,1.036,0.2683
3.58,41.6,521,212769527.13,0.712,0.1267
4.92,44.5,660,111516420.827,0.888,0.1971
6.19,35.2,769,104777873.676,1.377,0.474
9.16,35.8,390,317477147.738,0.959,0.2299
7.39,38.9,419,611979028.057,1.039,0.2699
8.7,34.0,432,207051609.949,1.102,0.3036
4.11,30.4,730,320462873.63,1.216,0.3697
3.39,25.1,316,232808916.972,0.737,0.1358
4.48,28.4,571,157560962.646,1.098,0.3014
7.9,41.0,572,462990449.683,0.941,0.2214
3.79,38.0,618,615741681.624,0.95,0.2256
8.12,31.0,582,514722615.056,1.281,0.4102
9.26,24.6,387,417172244.019,0.789,0.1556
8.0,27.5,388,216470393.526,1.052,0.2767
8.36,20.4,501,730240015.605,0.824,0.1697
2.56,34.2,497,381590095.334,0.93,0.2162
3.25,32.8,708,715039269.661,1.159,0.3358
2.82,40.4,624,953015498.922,0.741,0.1373
4.66,20.4,558,856144603.191,0.85,0.1806
9.37,26.4,716,454529497.313,0.982,0.2411
6.76,25.2,611,818303773.448,1.191,0.3546
3.58,21.0,799,415315687.458,0.808,0.1632
8.26,21.6,332,108361462.721,0.744,0.1384
5.87,27.3,428,8619465.613,1.109,0.3075
7.47,22.7,375,854729990.323,0.911,0.2075
8.44,41.3,579,678197074.601,0.875,0.1914
6.78,41.3,501,600971475.231,1.031,0.2657
5.68,28.8,422,611761928.538,1.215,0.3691
6.1,33.0,585,206910670.583,1.407,0.4949
3.68,31.5,338,324662281.451,1.071,0.2868
8.13,37.9,467,689142276.946,1.021,0.2606
4.27,26.2,516,712426707.361,0.977,0.2386
6.05,36.8,315,251726873.513,1.132,0.3204
6.0,38.5,425,608615227.652,1.103,0.3042
6.22,25.8,662,947965456.527,1.237,0.3825
4.59,20.3,724,388202532.308,0.893,0.1994
3.32,35.2,639,950504987.402,1.037,0.2688
8.58,33.0,553,165036533.37,1.202,0.3612
4.25,33.2,526,50853072.926,1.147,0.3289
7.11,42.0,683,720665327.008,1.033,0.2668
4.5,33.5,517,601232322.722,1.194,0.3564
4.49,40.1,398,141276160.793,0.83,0.1722
5.74,40.7,681,969370166.578,1.078,0.2905
8.85,44.2,717,10757114.273,0.789,0.1556
7.2,43.4,324,981799907.806,0.892,0.1989
5.03,37.4,698,538863973.883,1.144,0.3272
