pH,temperature,gas_level,weight_kg,voltage,energy
3.04,39.1,377,811587290.036,0.52,0.01352
3.99,33.7,479,753601130.936,0.778,0.030264
4.84,34.9,425,320743514.319,0.784,0.030733
3.52,42.1,696,109782093.233,0.529,0.013992
6.1,22.7,411,352142943.345,0.684,0.023393
5.87,31.1,631,506538980.434,0.977,0.047726
3.93,43.7,702,111810533.255,0.562,0.015792
9.4,23.9,546,851190023.525,0.574,0.016474
4.71,44.9,769,331153785.558,0.647,0.02093
8.74,41.4,420,823794823.422,0.553,0.01529
7.13,34.5,606,852726234.529,0.928,0.043059
8.71,25.6,796,654246509.84,0.737,0.027158
2.96,23.4,419,757162709.915,0.479,0.011472
7.58,29.7,622,296266466.686,0.894,0.039962
6.26,20.4,335,468877051.987,0.658,0.021648
6.5,36.0,524,524078168.785,0.905,0.040951
2.74,23.3,348,690985906.573,0.44,0.00968
6.42,31.8,776,758399178.353,1.079,0.058212
7.03,41.1,613,504304443.406,0.734,0.026938
5.44,45.0,770,195933174.855,0.697,0.02429
6.65,30.3,588,929585440.353,0.984,0.048413
9.22,39.7,484,488578282.501,0.579,0.016762
3.42,35.2,456,813423736.623,0.685,0.023461
6.5,42.9,637,444799528.39,0.751,0.0282
5.96,28.5,399,789517330.436,0.852,0.036295
7.85,38.6,732,388426225.039,0.775,0.030031
3.8,44.2,660,656529734.295,0.558,0.015568
8.94,41.2,743,323415114.362,0.616,0.018973
9.04,21.2,460,43353839.37,0.494,0.012202
5.76,22.3,380,938154124.442,0.648,0.020995
2.96,41.3,706,422763704.323,0.524,0.013729
5.62,43.6,304,66899559.234,0.584,0.017053
6.31,20.4,318,947183565.924,0.665,0.022111
6.29,35.3,326,39305192.758,0.836,0.034945
6.65,37.7,591,586588191.911,0.86,0.03698
9.39,22.2,600,758780916.519,0.537,0.014418
9.18,43.8,543,736198908.247,0.532,0.014151
6.87,35.6,541,902350100.652,0.899,0.04041
3.2,41.7,407,196923959.802,0.448,0.010035
5.53,27.9,617,308402712.233,0.847,0.03587
6.76,38.6,503,87217752.32,0.785,0.030811
7.52,31.0,599,11194316.812,0.9,0.0405
3.33,41.5,716,705517624.536,0.553,0.01529
5.17,39.3,317,753774185.164,0.658,0.021648
4.85,21.0,316,149245202.23,0.537,0.014418
5.54,41.8,665,829886071.545,0.698,0.02436
4.08,43.2,482,94246311.249,0.516,0.013313
7.39,20.2,328,277430886.284,0.603,0.01818
6.12,23.1,498,644069728.912,0.725,0.026281
8.29,28.5,332,532049857.116,0.738,0.027232
5.32,21.1,637,35632086.986,0.639,0.020416
7.63,32.8,622,186742265.254,0.931,0.043338
6.14,39.8,606,395671061.219,0.782,0.030576
7.91,42.1,453,703425295.74,0.604,0.018241
7.48,38.4,718,243717568.36,0.8,0.032
6.62,29.8,457,892259268.852,0.938,0.043992
9.35,39.8,337,985846926.512,0.536,0.014365
6.57,41.8,547,609744028.393,0.733,0.026864
8.6,37.5,778,601880129.481,0.767,0.029414
7.76,30.6,776,902405463.914,0.957,0.045792
8.33,23.9,714,461775712.321,0.691,0.023874
7.93,22.0,422,529906956.571,0.592,0.017523
9.02,41.6,552,905671317.037,0.56,0.01568
4.15,33.3,508,559892778.869,0.806,0.032482
5.43,31.1,340,973623666.92,0.877,0.038456
3.56,33.9,443,545427620.802,0.727,0.026426
8.38,43.3,728,855429037.388,0.639,0.020416
7.01,44.7,599,297393421.837,0.7,0.0245
8.25,35.2,411,228666595.149,0.761,0.028956
5.95,35.6,689,54546433.312,0.895,0.040051
6.08,31.5,715,109594276.84,1.011,0.051106
6.77,24.3,767,65889471.987,0.814,0.03313
8.12,30.3,537,138430771.833,0.843,0.035532
5.7,29.9,429,7008529.812,0.836,0.034945
3.36,42.4,555,624601330.036,0.499,0.01245
5.22,34.7,613,739102235.435,0.873,0.038106
7.45,20.7,316,457609020.569,0.6,0.018
8.14,42.4,691,107479336.763,0.628,0.019719
6.53,28.9,619,915670538.133,0.959,0.045984
6.53,33.5,397,694954979.722,0.948,0.044935
4.12,43.5,424,698107734.596,0.524,0.013729
5.78,37.6,684,52778223.285,0.821,0.033702
5.88,25.9,661,736126359.719,0.833,0.034694
4.0,20.9,776,84956168.883,0.583,0.016994
5.4,41.3,519,807186451.67,0.666,0.022178
6.71,24.4,390,738761190.235,0.751,0.0282
4.08,21.5,473,320254369.769,0.526,0.013834
4.01,22.5,321,556834168.14,0.503,0.01265
6.63,42.2,580,38122831.343,0.704,0.024781
2.7,20.2,740,680074937.59,0.496,0.012301
6.41,24.8,425,348880279.586,0.773,0.029876
6.52,35.5,621,849261581.627,0.947,0.04484
5.32,37.5,567,386408802.728,0.779,0.030342
5.92,40.6,304,355856392.322,0.665,0.022111
3.89,23.9,514,674628234.687,0.586,0.01717
4.15,40.0,408,822831769.886,0.584,0.017053
5.6,40.5,382,266637400.814,0.66,0.02178
3.09,42.6,551,587553424.654,0.477,0.011376
7.27,43.6,719,6874916.065,0.674,0.022714
3.03,44.2,510,212848330.681,0.452,0.010215
8.33,26.0,697,630797846.225,0.753,0.02835
5.5,26.6,373,426858241.131,0.748,0.027975
6.81,37.6,310,543325807.142,0.78,0.03042
4.07,43.6,621,288205963.933,0.561,0.015736
6.61,22.8,482,15886825.74,0.696,0.024221
3.07,20.1,731,494200126.292,0.519,0.013468
3.59,35.6,537,578060689.473,0.703,0.02471
5.99,34.0,746,199011019.404,0.973,0.047336
2.65,35.3,683,716775922.521,0.68,0.02312
3.72,32.3,613,71568151.304,0.81,0.032805
9.47,31.5,774,613610674.773,0.851,0.03621
5.04,27.0,491,847644076.453,0.762,0.029032
3.73,33.0,416,391020554.336,0.757,0.028652
7.95,20.1,678,559494086.787,0.655,0.021451
6.24,27.7,656,277614021.066,0.903,0.04077
8.45,42.5,516,471177515.242,0.575,0.016531
2.55,21.3,546,469118715.05,0.433,0.009374
8.89,22.9,420,215561984.427,0.538,0.014472
7.27,40.9,744,190482669.59,0.745,0.027751
6.16,41.0,660,880931566.552,0.768,0.029491
7.74,21.3,659,876023979.497,0.67,0.022445
7.78,36.6,635,351522701.361,0.815,0.033211
3.24,39.2,763,722803772.555,0.627,0.019656
6.53,43.4,473,889176998.453,0.715,0.025561
7.14,32.9,387,916087886.559,0.921,0.042412
6.3,25.4,731,56086416.179,0.842,0.035448
7.39,38.5,631,9634715.821,0.751,0.0282
7.8,39.1,794,98723005.399,0.766,0.029338
9.49,28.2,536,508870362.015,0.689,0.023736
3.99,40.2,459,276470116.159,0.568,0.016131
7.89,35.8,700,653282799.011,0.853,0.03638
9.11,24.7,432,583575551.055,0.588,0.017287
4.1,38.9,341,791123337.635,0.596,0.017761
4.24,35.8,511,136799203.302,0.725,0.026281
3.63,33.1,632,22127490.107,0.773,0.029876
6.18,32.8,667,717207742.513,1.016,0.051613
3.09,26.5,407,99881823.996,0.559,0.015624
6.07,20.4,627,244204108.471,0.711,0.025276
2.62,41.5,559,134462737.106,0.444,0.009857
4.57,35.6,324,989480606.69,0.728,0.026499
3.98,29.4,651,733420923.375,0.793,0.031442
3.35,29.7,325,417157787.747,0.668,0.022311
4.94,41.2,609,565362540.093,0.654,0.021386
4.85,43.9,622,194521099.335,0.616,0.018973
7.39,35.5,730,484230230.808,0.904,0.040861
9.46,36.2,795,609875073.417,0.746,0.027826
3.32,33.5,709,969361290.021,0.793,0.031442
3.49,34.7,775,278081103.647,0.775,0.030031
5.94,22.2,770,791078338.881,0.754,0.028426
9.42,34.4,644,958203275.559,0.77,0.029645
2.89,27.3,380,568423748.649,0.578,0.016704
8.76,28.1,352,413316618.099,0.693,0.024012
8.05,24.9,474,69447136.004,0.664,0.022045
5.29,41.2,486,853073642.832,0.653,0.02132
6.45,22.5,601,607660060.563,0.757,0.028652
6.22,27.3,701,83714552.995,0.889,0.039516
9.33,37.8,703,657523213.263,0.685,0.023461
8.76,32.6,488,250724687.688,0.821,0.033702
3.11,21.8,360,714615621.342,0.433,0.009374
5.55,35.7,408,605797436.871,0.815,0.033211
5.28,33.8,488,594597137.006,0.871,0.037932
7.93,42.8,300,363624622.469,0.558,0.015568
6.99,20.2,742,378193721.237,0.739,0.027306
7.02,41.8,647,686630918.413,0.725,0.026281
8.87,42.7,330,967122885.805,0.504,0.012701
9.39,40.9,519,781967581.408,0.544,0.014797
8.33,28.6,787,919446478.9,0.857,0.036722
6.14,36.5,579,658134863.33,0.879,0.038632
2.8,41.8,694,724898532.832,0.499,0.01245
5.77,38.9,677,340956080.249,0.797,0.03176
3.61,34.0,540,440974436.198,0.75,0.028125
7.24,35.2,346,856127903.741,0.834,0.034778
3.39,23.6,509,444230073.781,0.534,0.014258
5.14,39.2,660,325721349.819,0.736,0.027085
2.61,33.1,734,708217637.441,0.755,0.028501
4.95,44.5,368,79344208.602,0.551,0.01518
6.37,30.0,679,243598141.496,0.986,0.04861
6.45,20.2,566,689908320.834,0.734,0.026938
3.46,39.9,761,350348530.069,0.615,0.018911
2.82,28.1,761,262110731.248,0.684,0.023393
6.76,20.9,358,778408445.077,0.668,0.022311
5.26,41.3,667,328536546.279,0.684,0.023393
7.54,33.3,322,269343682.796,0.851,0.03621
3.24,27.5,364,608172134.046,0.607,0.018422
6.67,37.6,427,581900721.223,0.821,0.033702
8.96,36.6,535,621917751.121,0.707,0.024992
5.25,44.9,585,594263038.879,0.647,0.02093
8.14,39.8,336,694599983.362,0.623,0.019406
8.35,41.0,404,582835911.793,0.587,0.017228
5.77,21.6,711,877805786.033,0.722,0.026064
4.4,33.9,498,711740204.428,0.807,0.032562
6.53,44.1,357,927455578.28,0.686,0.02353
7.95,33.9,306,230897294.764,0.797,0.03176
6.38,29.9,792,44730861.486,0.996,0.049601
8.22,38.9,669,988590935.278,0.731,0.026718
4.13,23.1,391,189996439.051,0.537,0.014418
5.1,41.4,542,850818900.972,0.647,0.02093
2.57,20.7,785,90491686.287,0.478,0.011424
7.52,23.7,570,32181374.127,0.684,0.023393
3.4,27.7,742,584703396.574,0.719,0.025848
7.56,43.9,716,828679535.411,0.698,0.02436
3.7,39.6,448,966442711.328,0.574,0.016474
4.56,26.3,763,895806298.654,0.773,0.029876
6.0,25.4,783,590535667.85,0.855,0.036551
8.67,25.7,647,333186306.733,0.699,0.02443
7.63,41.0,635,708803995.329,0.701,0.02457
8.71,23.4,787,421575610.859,0.665,0.022111
9.18,43.3,462,456289812.797,0.507,0.012852
3.93,24.0,742,818745525.535,0.651,0.02119
8.98,40.0,577,565796489.069,0.613,0.018788
7.79,38.0,354,943191575.416,0.711,0.025276
8.0,38.5,763,692085549.515,0.78,0.03042
9.46,34.3,569,861396519.364,0.75,0.028125
7.75,44.1,471,75686516.982,0.599,0.01794
9.41,27.9,584,343948226.243,0.694,0.024082
